Car Name,Manufacturer,Launch Year,Description,Engine Specifications,Other Specifications,User Ratings,NCAP Global Rating
FactSubject78,Ross PLC,2014,"The FactSubject78 by Ross PLC is a elegant and futuristic minivan. It features exceptional handling and integrated smart connectivity that deliver an exhilarating driving experience. Released in 2014, it embodies the future of automotive design.","I6, 375 HP, 3635cc","Coupe, 7 km/l, 128 km/h top speed",1.4,4
Ross PLC,HighOf34,2002,"Experience the fusion of style and performance with the Ross PLC from HighOf34. This futuristic sports car boasts state-of-the-art infotainment system along with advanced safety features. Its innovative design and reliable engineering, launched in 2002, set a new benchmark in its class.","V8, 257 HP, 4712cc","SUV, 15 km/l, 242 km/h top speed",3.1,1
EverConsumer37,Ross PLC,2005,"Experience the fusion of style and performance with the EverConsumer37 from Ross PLC. This luxurious roadster boasts remarkable fuel efficiency along with advanced safety features. Its innovative design and reliable engineering, launched in 2005, set a new benchmark in its class.","I4, 345 HP, 1256cc","Sedan, 11 km/l, 166 km/h top speed",1.4,1
SpaceBillion33,Ross PLC,1996,"Ross PLC presents the SpaceBillion33, a robust masterpiece that redefines modern mobility. With features such as integrated smart connectivity and high-performance engine, this convertible combines efficiency with bold performance. Since its inception in 1996, it has captivated enthusiasts and experts alike.","I6, 339 HP, 1878cc","Coupe, 11 km/l, 199 km/h top speed",2.6,1
OrganizationHope46,Ross PLC,2005,"Ross PLC presents the OrganizationHope46, a sleek masterpiece that redefines modern mobility. With features such as high-performance engine and next-generation navigation system, this hatchback combines efficiency with bold performance. Since its inception in 2005, it has captivated enthusiasts and experts alike.","V6, 148 HP, 1780cc","SUV, 6 km/l, 150 km/h top speed",2.4,4
IssueAnything17,Ross PLC,2005,"Experience the fusion of style and performance with the IssueAnything17 from Ross PLC. This powerful sports car boasts integrated smart connectivity along with integrated smart connectivity. Its innovative design and reliable engineering, launched in 2005, set a new benchmark in its class.","I6, 263 HP, 3450cc","SUV, 10 km/l, 142 km/h top speed",1.5,4
Ross PLC,ImagineSituation42,2019,"Experience the fusion of style and performance with the Ross PLC from ImagineSituation42. This dynamic coupe boasts unmatched reliability along with high-performance engine. Its innovative design and reliable engineering, launched in 2019, set a new benchmark in its class.","I4, 407 HP, 3472cc","Coupe, 15 km/l, 161 km/h top speed",3,5
Ross PLC,StaffBegin23,2016,"Experience the fusion of style and performance with the Ross PLC from StaffBegin23. This futuristic sedan boasts eco-friendly technology along with intuitive user interface. Its innovative design and reliable engineering, launched in 2016, set a new benchmark in its class.","V8, 234 HP, 2024cc","Sedan, 12 km/l, 123 km/h top speed",4.1,1
PushNight34,Ross PLC,2019,"The PushNight34 by Ross PLC is a cutting-edge and sleek sedan. It features next-generation navigation system and integrated smart connectivity that deliver an exhilarating driving experience. Released in 2019, it embodies the future of automotive design.","Electric, 111 HP, 4976cc","Sedan, 15 km/l, 149 km/h top speed",4.6,1
Ross PLC,DinnerMake18,2025,"The Ross PLC by DinnerMake18 is a efficient and elegant coupe. It features eco-friendly technology and integrated smart connectivity that deliver an exhilarating driving experience. Released in 2025, it embodies the future of automotive design.","I4, 524 HP, 1588cc","Convertible, 14 km/l, 243 km/h top speed",1.7,4
Rose-Maldonado,WriteBudget52,2024,"The Rose-Maldonado by WriteBudget52 is a luxurious and powerful hatchback. It features advanced safety features and remarkable fuel efficiency that deliver an exhilarating driving experience. Released in 2024, it embodies the future of automotive design.","Electric, 386 HP, 3068cc","Coupe, 15 km/l, 115 km/h top speed",1.5,2
Rose-Maldonado,ProveUsually15,1998,"ProveUsually15 presents the Rose-Maldonado, a dynamic masterpiece that redefines modern mobility. With features such as state-of-the-art infotainment system and state-of-the-art infotainment system, this hatchback combines efficiency with bold performance. Since its inception in 1998, it has captivated enthusiasts and experts alike.","I6, 368 HP, 3227cc","Sedan, 13 km/l, 229 km/h top speed",4.6,5
PeaceFloor43,Rose-Maldonado,2008,"Rose-Maldonado presents the PeaceFloor43, a agile masterpiece that redefines modern mobility. With features such as state-of-the-art infotainment system and unmatched reliability, this hatchback combines efficiency with bold performance. Since its inception in 2008, it has captivated enthusiasts and experts alike.","I6, 489 HP, 1316cc","Coupe, 9 km/l, 144 km/h top speed",2.7,4
Rose-Maldonado,NearMouth53,2025,"NearMouth53 presents the Rose-Maldonado, a elegant masterpiece that redefines modern mobility. With features such as state-of-the-art infotainment system and intuitive user interface, this convertible combines efficiency with bold performance. Since its inception in 2025, it has captivated enthusiasts and experts alike.","I6, 274 HP, 4070cc","Convertible, 14 km/l, 134 km/h top speed",1.9,2
ThankTeach87,Rose-Maldonado,2016,"Rose-Maldonado presents the ThankTeach87, a agile masterpiece that redefines modern mobility. With features such as unmatched reliability and advanced safety features, this sedan combines efficiency with bold performance. Since its inception in 2016, it has captivated enthusiasts and experts alike.","Electric, 327 HP, 2126cc","SUV, 13 km/l, 201 km/h top speed",4.4,1
Rose-Maldonado,MessageEver56,2024,"The Rose-Maldonado by MessageEver56 is a innovative and futuristic limousine. It features advanced safety features and exceptional handling that deliver an exhilarating driving experience. Released in 2024, it embodies the future of automotive design.","V8, 475 HP, 2855cc","Hatchback, 13 km/l, 175 km/h top speed",1.8,2
RuleAlso22,Rose-Maldonado,2007,"Experience the fusion of style and performance with the RuleAlso22 from Rose-Maldonado. This state-of-the-art limousine boasts eco-friendly technology along with remarkable fuel efficiency. Its innovative design and reliable engineering, launched in 2007, set a new benchmark in its class.","V6, 418 HP, 1040cc","SUV, 7 km/l, 235 km/h top speed",3.6,2
Rose-Maldonado,TypeEvent89,2019,"The Rose-Maldonado by TypeEvent89 is a cutting-edge and cutting-edge limousine. It features state-of-the-art infotainment system and eco-friendly technology that deliver an exhilarating driving experience. Released in 2019, it embodies the future of automotive design.","V6, 434 HP, 3587cc","SUV, 11 km/l, 102 km/h top speed",3.7,4
AgainstQuickly82,Rose-Maldonado,2025,"Experience the fusion of style and performance with the AgainstQuickly82 from Rose-Maldonado. This sleek sedan boasts high-performance engine along with unmatched reliability. Its innovative design and reliable engineering, launched in 2025, set a new benchmark in its class.","I4, 587 HP, 4955cc","SUV, 14 km/l, 158 km/h top speed",3.3,5
FactorSuddenly16,Rose-Maldonado,2008,"Rose-Maldonado presents the FactorSuddenly16, a elegant masterpiece that redefines modern mobility. With features such as eco-friendly technology and advanced safety features, this limousine combines efficiency with bold performance. Since its inception in 2008, it has captivated enthusiasts and experts alike.","Electric, 209 HP, 2879cc","SUV, 15 km/l, 122 km/h top speed",4.4,2
ModelGame60,Rose-Maldonado,2022,"The ModelGame60 by Rose-Maldonado is a state-of-the-art and dynamic coupe. It features remarkable fuel efficiency and state-of-the-art infotainment system that deliver an exhilarating driving experience. Released in 2022, it embodies the future of automotive design.","V6, 130 HP, 1703cc","Sedan, 8 km/l, 230 km/h top speed",2.3,3
Rose-Maldonado,MorningHelp24,1998,"The Rose-Maldonado by MorningHelp24 is a state-of-the-art and agile sedan. It features eco-friendly technology and exceptional handling that deliver an exhilarating driving experience. Released in 1998, it embodies the future of automotive design.","V6, 452 HP, 4488cc","Hatchback, 5 km/l, 219 km/h top speed",4.7,4
Rose-Maldonado,LayDinner87,2012,"LayDinner87 presents the Rose-Maldonado, a cutting-edge masterpiece that redefines modern mobility. With features such as state-of-the-art infotainment system and exceptional handling, this SUV combines efficiency with bold performance. Since its inception in 2012, it has captivated enthusiasts and experts alike.","Electric, 208 HP, 4395cc","Convertible, 11 km/l, 124 km/h top speed",4.9,2
Rose-Maldonado,WhoseReveal62,2024,"Experience the fusion of style and performance with the Rose-Maldonado from WhoseReveal62. This luxurious SUV boasts unmatched reliability along with intuitive user interface. Its innovative design and reliable engineering, launched in 2024, set a new benchmark in its class.","V6, 127 HP, 1678cc","Coupe, 8 km/l, 148 km/h top speed",2.2,1
BigGround37,Rose-Maldonado,2018,"Rose-Maldonado presents the BigGround37, a powerful masterpiece that redefines modern mobility. With features such as intuitive user interface and next-generation navigation system, this minivan combines efficiency with bold performance. Since its inception in 2018, it has captivated enthusiasts and experts alike.","Electric, 124 HP, 3721cc","Convertible, 11 km/l, 200 km/h top speed",2.3,4
Rose-Maldonado,LowWar59,1996,"Experience the fusion of style and performance with the Rose-Maldonado from LowWar59. This agile coupe boasts exceptional handling along with next-generation navigation system. Its innovative design and reliable engineering, launched in 1996, set a new benchmark in its class.","I4, 150 HP, 3011cc","Sedan, 15 km/l, 228 km/h top speed",4.2,5
RangeFoot45,Rose-Maldonado,1998,"Experience the fusion of style and performance with the RangeFoot45 from Rose-Maldonado. This elegant convertible boasts state-of-the-art infotainment system along with remarkable fuel efficiency. Its innovative design and reliable engineering, launched in 1998, set a new benchmark in its class.","V6, 120 HP, 4643cc","Sedan, 11 km/l, 209 km/h top speed",3.6,5
Rose-Maldonado,NatureYear98,2003,"NatureYear98 presents the Rose-Maldonado, a agile masterpiece that redefines modern mobility. With features such as unmatched reliability and intuitive user interface, this sedan combines efficiency with bold performance. Since its inception in 2003, it has captivated enthusiasts and experts alike.","V8, 330 HP, 2604cc","SUV, 11 km/l, 149 km/h top speed",1.2,3
EndSkill12,Rose-Maldonado,1998,"Experience the fusion of style and performance with the EndSkill12 from Rose-Maldonado. This futuristic sports car boasts intuitive user interface along with state-of-the-art infotainment system. Its innovative design and reliable engineering, launched in 1998, set a new benchmark in its class.","Electric, 235 HP, 3596cc","SUV, 12 km/l, 211 km/h top speed",4.1,3
PublicLevel16,Rose-Maldonado,2022,"The PublicLevel16 by Rose-Maldonado is a state-of-the-art and vibrant limousine. It features integrated smart connectivity and unmatched reliability that deliver an exhilarating driving experience. Released in 2022, it embodies the future of automotive design.","V8, 364 HP, 2196cc","Coupe, 11 km/l, 104 km/h top speed",4.6,4
Thompson-Miles,SoundOwner26,2024,"Experience the fusion of style and performance with the Thompson-Miles from SoundOwner26. This sleek hatchback boasts high-performance engine along with next-generation navigation system. Its innovative design and reliable engineering, launched in 2024, set a new benchmark in its class.","I6, 415 HP, 1665cc","Coupe, 11 km/l, 146 km/h top speed",2.4,5
KindInternational85,Thompson-Miles,2007,"Thompson-Miles presents the KindInternational85, a vibrant masterpiece that redefines modern mobility. With features such as advanced safety features and state-of-the-art infotainment system, this sports car combines efficiency with bold performance. Since its inception in 2007, it has captivated enthusiasts and experts alike.","V6, 373 HP, 2061cc","Convertible, 11 km/l, 197 km/h top speed",3.1,1
RemainThem18,Thompson-Miles,2009,"Thompson-Miles presents the RemainThem18, a dynamic masterpiece that redefines modern mobility. With features such as intuitive user interface and state-of-the-art infotainment system, this sports car combines efficiency with bold performance. Since its inception in 2009, it has captivated enthusiasts and experts alike.","I4, 345 HP, 1813cc","Hatchback, 5 km/l, 136 km/h top speed",1.2,5
SouthRead79,Thompson-Miles,2019,"Thompson-Miles presents the SouthRead79, a efficient masterpiece that redefines modern mobility. With features such as integrated smart connectivity and intuitive user interface, this SUV combines efficiency with bold performance. Since its inception in 2019, it has captivated enthusiasts and experts alike.","V8, 198 HP, 2547cc","Coupe, 14 km/l, 168 km/h top speed",1.5,2
Thompson-Miles,ColdPhone76,2007,"The Thompson-Miles by ColdPhone76 is a state-of-the-art and sleek roadster. It features advanced safety features and remarkable fuel efficiency that deliver an exhilarating driving experience. Released in 2007, it embodies the future of automotive design.","Electric, 485 HP, 2704cc","Hatchback, 7 km/l, 235 km/h top speed",1.2,5
Thompson-Miles,SafeHappy31,2006,"SafeHappy31 presents the Thompson-Miles, a robust masterpiece that redefines modern mobility. With features such as next-generation navigation system and exceptional handling, this hatchback combines efficiency with bold performance. Since its inception in 2006, it has captivated enthusiasts and experts alike.","V8, 467 HP, 4736cc","Coupe, 15 km/l, 215 km/h top speed",2,4
Thompson-Miles,ComputerIndustry28,2019,"The Thompson-Miles by ComputerIndustry28 is a robust and state-of-the-art minivan. It features state-of-the-art infotainment system and integrated smart connectivity that deliver an exhilarating driving experience. Released in 2019, it embodies the future of automotive design.","V6, 587 HP, 2568cc","Sedan, 11 km/l, 236 km/h top speed",1.5,5
Thompson-Miles,NightFull93,2020,"Experience the fusion of style and performance with the Thompson-Miles from NightFull93. This elegant coupe boasts eco-friendly technology along with integrated smart connectivity. Its innovative design and reliable engineering, launched in 2020, set a new benchmark in its class.","V8, 495 HP, 2834cc","Coupe, 5 km/l, 240 km/h top speed",2.4,4
CommercialBetter40,Thompson-Miles,2017,"Experience the fusion of style and performance with the CommercialBetter40 from Thompson-Miles. This vibrant minivan boasts next-generation navigation system along with eco-friendly technology. Its innovative design and reliable engineering, launched in 2017, set a new benchmark in its class.","V6, 249 HP, 3998cc","Hatchback, 9 km/l, 208 km/h top speed",2.4,1
FoodBe45,Thompson-Miles,1995,"The FoodBe45 by Thompson-Miles is a state-of-the-art and dynamic SUV. It features exceptional handling and remarkable fuel efficiency that deliver an exhilarating driving experience. Released in 1995, it embodies the future of automotive design.","V8, 456 HP, 2792cc","SUV, 9 km/l, 104 km/h top speed",1.1,3
Thompson-Miles,AmongThat42,2002,"AmongThat42 presents the Thompson-Miles, a dynamic masterpiece that redefines modern mobility. With features such as state-of-the-art infotainment system and advanced safety features, this minivan combines efficiency with bold performance. Since its inception in 2002, it has captivated enthusiasts and experts alike.","Electric, 134 HP, 4545cc","Coupe, 10 km/l, 177 km/h top speed",1.5,5
Thompson-Miles,EconomicService90,2009,"The Thompson-Miles by EconomicService90 is a agile and robust hatchback. It features integrated smart connectivity and remarkable fuel efficiency that deliver an exhilarating driving experience. Released in 2009, it embodies the future of automotive design.","I4, 537 HP, 3727cc","Sedan, 6 km/l, 165 km/h top speed",3.2,4
Thompson-Miles,PoorDuring60,2002,"Experience the fusion of style and performance with the Thompson-Miles from PoorDuring60. This agile coupe boasts integrated smart connectivity along with integrated smart connectivity. Its innovative design and reliable engineering, launched in 2002, set a new benchmark in its class.","V6, 232 HP, 2024cc","Sedan, 15 km/l, 109 km/h top speed",4.1,3
WantAlone32,Thompson-Miles,2016,"Thompson-Miles presents the WantAlone32, a vibrant masterpiece that redefines modern mobility. With features such as integrated smart connectivity and remarkable fuel efficiency, this sedan combines efficiency with bold performance. Since its inception in 2016, it has captivated enthusiasts and experts alike.","V6, 258 HP, 3185cc","Sedan, 9 km/l, 126 km/h top speed",3.6,1
Thompson-Miles,CatchAgo42,2012,"CatchAgo42 presents the Thompson-Miles, a elegant masterpiece that redefines modern mobility. With features such as next-generation navigation system and integrated smart connectivity, this SUV combines efficiency with bold performance. Since its inception in 2012, it has captivated enthusiasts and experts alike.","I6, 345 HP, 3121cc","Hatchback, 8 km/l, 108 km/h top speed",3.3,1
Thompson-Miles,CapitalWay74,2025,"The Thompson-Miles by CapitalWay74 is a luxurious and robust roadster. It features integrated smart connectivity and exceptional handling that deliver an exhilarating driving experience. Released in 2025, it embodies the future of automotive design.","V8, 174 HP, 1534cc","SUV, 12 km/l, 146 km/h top speed",2,5
TellBest62,Thompson-Miles,2017,"The TellBest62 by Thompson-Miles is a vibrant and futuristic SUV. It features next-generation navigation system and advanced safety features that deliver an exhilarating driving experience. Released in 2017, it embodies the future of automotive design.","I4, 287 HP, 3008cc","Hatchback, 13 km/l, 138 km/h top speed",1.2,1
FatherPicture65,Thompson-Miles,2019,"Experience the fusion of style and performance with the FatherPicture65 from Thompson-Miles. This efficient coupe boasts integrated smart connectivity along with intuitive user interface. Its innovative design and reliable engineering, launched in 2019, set a new benchmark in its class.","V8, 209 HP, 3694cc","Sedan, 14 km/l, 210 km/h top speed",1.7,5
SimilarDown87,Thompson-Miles,2005,"Thompson-Miles presents the SimilarDown87, a dynamic masterpiece that redefines modern mobility. With features such as exceptional handling and exceptional handling, this minivan combines efficiency with bold performance. Since its inception in 2005, it has captivated enthusiasts and experts alike.","Electric, 502 HP, 3142cc","Coupe, 14 km/l, 105 km/h top speed",3,1
IncreaseParty93,Thompson-Miles,2013,"The IncreaseParty93 by Thompson-Miles is a robust and elegant roadster. It features state-of-the-art infotainment system and high-performance engine that deliver an exhilarating driving experience. Released in 2013, it embodies the future of automotive design.","I4, 268 HP, 3904cc","SUV, 10 km/l, 246 km/h top speed",4.8,2
IMean48,"Howard, Taylor and Johnson",2009,"Experience the fusion of style and performance with the IMean48 from Howard, Taylor and Johnson. This vibrant minivan boasts exceptional handling along with exceptional handling. Its innovative design and reliable engineering, launched in 2009, set a new benchmark in its class.","V6, 209 HP, 2478cc","Hatchback, 5 km/l, 228 km/h top speed",3.2,1
FaceSuddenly86,"Howard, Taylor and Johnson",2023,"Howard, Taylor and Johnson presents the FaceSuddenly86, a powerful masterpiece that redefines modern mobility. With features such as integrated smart connectivity and state-of-the-art infotainment system, this sports car combines efficiency with bold performance. Since its inception in 2023, it has captivated enthusiasts and experts alike.","V8, 296 HP, 2360cc","Hatchback, 5 km/l, 176 km/h top speed",2.2,5
WatchStation31,"Howard, Taylor and Johnson",2014,"Experience the fusion of style and performance with the WatchStation31 from Howard, Taylor and Johnson. This innovative hatchback boasts advanced safety features along with eco-friendly technology. Its innovative design and reliable engineering, launched in 2014, set a new benchmark in its class.","V8, 309 HP, 3704cc","Sedan, 12 km/l, 222 km/h top speed",3.9,3
DayUse52,"Howard, Taylor and Johnson",2010,"The DayUse52 by Howard, Taylor and Johnson is a elegant and vibrant coupe. It features integrated smart connectivity and unmatched reliability that deliver an exhilarating driving experience. Released in 2010, it embodies the future of automotive design.","I6, 475 HP, 4663cc","Coupe, 11 km/l, 146 km/h top speed",4.2,2
"Howard, Taylor and Johnson",FactorUpon49,2013,"Experience the fusion of style and performance with the Howard, Taylor and Johnson from FactorUpon49. This state-of-the-art sedan boasts state-of-the-art infotainment system along with remarkable fuel efficiency. Its innovative design and reliable engineering, launched in 2013, set a new benchmark in its class.","V6, 517 HP, 1432cc","SUV, 13 km/l, 130 km/h top speed",4.6,5
"Howard, Taylor and Johnson",OrWorld44,2001,"Experience the fusion of style and performance with the Howard, Taylor and Johnson from OrWorld44. This cutting-edge roadster boasts high-performance engine along with eco-friendly technology. Its innovative design and reliable engineering, launched in 2001, set a new benchmark in its class.","V8, 407 HP, 1239cc","Coupe, 7 km/l, 222 km/h top speed",4.2,4
PaperStreet69,"Howard, Taylor and Johnson",2000,"The PaperStreet69 by Howard, Taylor and Johnson is a powerful and robust limousine. It features next-generation navigation system and exceptional handling that deliver an exhilarating driving experience. Released in 2000, it embodies the future of automotive design.","V6, 251 HP, 2137cc","Sedan, 11 km/l, 221 km/h top speed",4.1,1
"Howard, Taylor and Johnson",BrotherOffer44,1998,"Experience the fusion of style and performance with the Howard, Taylor and Johnson from BrotherOffer44. This state-of-the-art limousine boasts state-of-the-art infotainment system along with intuitive user interface. Its innovative design and reliable engineering, launched in 1998, set a new benchmark in its class.","V6, 549 HP, 2756cc","Sedan, 15 km/l, 237 km/h top speed",4.7,1
"Howard, Taylor and Johnson",ReportSocial53,2003,"ReportSocial53 presents the Howard, Taylor and Johnson, a state-of-the-art masterpiece that redefines modern mobility. With features such as intuitive user interface and advanced safety features, this sedan combines efficiency with bold performance. Since its inception in 2003, it has captivated enthusiasts and experts alike.","I6, 560 HP, 4085cc","SUV, 7 km/l, 173 km/h top speed",1.4,2
BeBall61,"Howard, Taylor and Johnson",1995,"Howard, Taylor and Johnson presents the BeBall61, a luxurious masterpiece that redefines modern mobility. With features such as integrated smart connectivity and integrated smart connectivity, this hatchback combines efficiency with bold performance. Since its inception in 1995, it has captivated enthusiasts and experts alike.","V8, 440 HP, 3851cc","Coupe, 8 km/l, 207 km/h top speed",3.2,1
OutsideShort55,"Howard, Taylor and Johnson",2012,"The OutsideShort55 by Howard, Taylor and Johnson is a agile and powerful hatchback. It features intuitive user interface and high-performance engine that deliver an exhilarating driving experience. Released in 2012, it embodies the future of automotive design.","I6, 312 HP, 2687cc","Coupe, 9 km/l, 197 km/h top speed",3.9,2
LargePurpose10,"Howard, Taylor and Johnson",2016,"Howard, Taylor and Johnson presents the LargePurpose10, a powerful masterpiece that redefines modern mobility. With features such as integrated smart connectivity and integrated smart connectivity, this sports car combines efficiency with bold performance. Since its inception in 2016, it has captivated enthusiasts and experts alike.","I4, 113 HP, 1294cc","Convertible, 8 km/l, 126 km/h top speed",3.1,3
WaterSit45,"Howard, Taylor and Johnson",2014,"Experience the fusion of style and performance with the WaterSit45 from Howard, Taylor and Johnson. This dynamic hatchback boasts high-performance engine along with next-generation navigation system. Its innovative design and reliable engineering, launched in 2014, set a new benchmark in its class.","I6, 371 HP, 2465cc","Coupe, 6 km/l, 134 km/h top speed",4.6,1
EndOfficial15,"Howard, Taylor and Johnson",2001,"Experience the fusion of style and performance with the EndOfficial15 from Howard, Taylor and Johnson. This efficient roadster boasts unmatched reliability along with state-of-the-art infotainment system. Its innovative design and reliable engineering, launched in 2001, set a new benchmark in its class.","V6, 591 HP, 3569cc","Sedan, 12 km/l, 133 km/h top speed",1.9,2
SizeMost72,"Howard, Taylor and Johnson",1995,"The SizeMost72 by Howard, Taylor and Johnson is a state-of-the-art and powerful coupe. It features intuitive user interface and advanced safety features that deliver an exhilarating driving experience. Released in 1995, it embodies the future of automotive design.","V8, 132 HP, 1270cc","Convertible, 7 km/l, 118 km/h top speed",4,4
AgeMember19,"Howard, Taylor and Johnson",2010,"Howard, Taylor and Johnson presents the AgeMember19, a innovative masterpiece that redefines modern mobility. With features such as advanced safety features and high-performance engine, this roadster combines efficiency with bold performance. Since its inception in 2010, it has captivated enthusiasts and experts alike.","V6, 303 HP, 3284cc","Convertible, 10 km/l, 161 km/h top speed",2,5
"Howard, Taylor and Johnson",MatterStep56,2005,"MatterStep56 presents the Howard, Taylor and Johnson, a cutting-edge masterpiece that redefines modern mobility. With features such as remarkable fuel efficiency and remarkable fuel efficiency, this hatchback combines efficiency with bold performance. Since its inception in 2005, it has captivated enthusiasts and experts alike.","Electric, 398 HP, 1858cc","Sedan, 14 km/l, 240 km/h top speed",2.9,5
TrialConsumer22,"Howard, Taylor and Johnson",2014,"Howard, Taylor and Johnson presents the TrialConsumer22, a dynamic masterpiece that redefines modern mobility. With features such as advanced safety features and state-of-the-art infotainment system, this roadster combines efficiency with bold performance. Since its inception in 2014, it has captivated enthusiasts and experts alike.","I4, 361 HP, 4254cc","Coupe, 14 km/l, 225 km/h top speed",1.8,5
AnotherAlso15,"Howard, Taylor and Johnson",2004,"Howard, Taylor and Johnson presents the AnotherAlso15, a dynamic masterpiece that redefines modern mobility. With features such as integrated smart connectivity and eco-friendly technology, this roadster combines efficiency with bold performance. Since its inception in 2004, it has captivated enthusiasts and experts alike.","V6, 256 HP, 2434cc","SUV, 10 km/l, 238 km/h top speed",2.8,4
"Howard, Taylor and Johnson",TvStudy39,2005,"The Howard, Taylor and Johnson by TvStudy39 is a vibrant and cutting-edge roadster. It features intuitive user interface and eco-friendly technology that deliver an exhilarating driving experience. Released in 2005, it embodies the future of automotive design.","V8, 129 HP, 4447cc","SUV, 14 km/l, 213 km/h top speed",1.4,5
CompanyEconomy35,Garcia Group,2004,"Garcia Group presents the CompanyEconomy35, a efficient masterpiece that redefines modern mobility. With features such as eco-friendly technology and next-generation navigation system, this minivan combines efficiency with bold performance. Since its inception in 2004, it has captivated enthusiasts and experts alike.","V8, 544 HP, 3400cc","SUV, 6 km/l, 132 km/h top speed",1.3,3
Garcia Group,SuccessfulPainting87,2009,"The Garcia Group by SuccessfulPainting87 is a cutting-edge and futuristic hatchback. It features integrated smart connectivity and next-generation navigation system that deliver an exhilarating driving experience. Released in 2009, it embodies the future of automotive design.","I6, 101 HP, 3692cc","Convertible, 12 km/l, 203 km/h top speed",2.9,5
Garcia Group,OperationDetail56,2016,"Experience the fusion of style and performance with the Garcia Group from OperationDetail56. This powerful SUV boasts integrated smart connectivity along with eco-friendly technology. Its innovative design and reliable engineering, launched in 2016, set a new benchmark in its class.","V6, 189 HP, 1645cc","Sedan, 6 km/l, 101 km/h top speed",4,5
Garcia Group,PrepareReach29,2004,"Experience the fusion of style and performance with the Garcia Group from PrepareReach29. This futuristic coupe boasts advanced safety features along with state-of-the-art infotainment system. Its innovative design and reliable engineering, launched in 2004, set a new benchmark in its class.","I6, 579 HP, 1600cc","Coupe, 5 km/l, 239 km/h top speed",3.6,4
Garcia Group,BehaviorRadio62,1999,"Experience the fusion of style and performance with the Garcia Group from BehaviorRadio62. This elegant minivan boasts next-generation navigation system along with high-performance engine. Its innovative design and reliable engineering, launched in 1999, set a new benchmark in its class.","Electric, 413 HP, 4571cc","Coupe, 14 km/l, 119 km/h top speed",3.2,1
